ID,Name,Address,Location,Mob. Number,Occupation
0,Дивино Винарија,Адреса: бул.Македонска Косовска бригада 30-б,Место: Скопје,071 304335,"Дејности:вина - производство, пијалаци - алкохолни - производство, винарски визби"
1,Филовски винарија - Дирекција,Адреса: 11-ти Октомври 23-а-1/1,Место: Скопје,02 3133394,"Дејности:вина - производство, винарски визби"
2,Винарија Брзанов,Адреса: Ѓорче Петров 4,Место: Скопје,075 406116,Дејности:вина - производство
3,Лозница - Национална кафана и винарија,Адреса: М.Т.Гологанов 42,Место: Скопје,070 617749,Дејности:ресторани
4,Борд лајф винари,Адреса: с.Кучково,Место: Скопје,070 331114,"Дејности:винарски визби, вина - производство, винотеки (винарници)"
5,Винарија Попов,"Адреса: Гоце Делчев, с.Росоман 13-а",Место: Кавадарци,043 551001,"Дејности:винарски визби, вина - производство"
6,Винарија Охрид,Адреса: Железничка б.б.,Место: Охрид,046 279225,Дејности:винарски визби
7,Кралска Винарија-Кралица Марија,Адреса: Маршал Тито 63,Место: Демир Капија,043 446500,"Дејности:винотеки (винарници), винарски визби, ресторани, апартмани и приватни соби - изнајмување, вина - производство"
8,Винарија Илиев,Адреса: с.Сопот,Место: Кавадарци,071 219233,Дејности:винарски визби
9,Семејна Винарија Захарчев,Адреса: Косовска 16,Место: Кавадарци,070 743742,"Дејности:винарски визби, винотеки (винарници)"
10,Стоби Винарија,"Адреса: Автопат, с.Градско 2",Место: Велес,043 215800,"Дејности:вина - производство, винарски визби, ресторани"
11,Лазар Винарија,Адреса: Археолошки Локалитет Стоби Градско,Место: Велес,070 315800,"Дејности:винарски визби, вина - производство, вина - трговија, апартмани и приватни соби - изнајмување, ресторани"
12,Винарија Кимов,Адреса: Индустриска б.б.,Место: Неготино,075 379316,Дејности:винарски визби
13,Винарија Томов,Адреса: с.Тимјаник,Место: Неготино,076 808994,Дејности:винарски визби
14,Иванов Винарија,Адреса: Игман 11,Место: Кавадарци,075 350084,"Дејности:вина - трговија, винарски визби"
15,Арабеска винарија,Адреса: с.Сопот,Место: Кавадарци,075 239243,"Дејности:вина - производство, вина - трговија, винарски визби"
16,Винарија-Дестилерија Кабранов,Адреса: Вељко Влаховиќ 23,Место: Неготино,043 360060,"Дејности:вина - производство, пијалаци - алкохолни - производство"
17,Дизајн Центар Инженеринг-Винарија Грков,Адреса: Народна Младина 3,Место: Кавадарци,043 400600,"Дејности:градежни фирми и претпријатија, инженеринг, проектирање (проектантски бироа), ентериер - уредување и реновирање"
18,Манастирска винарија,Адреса: с.Опеница,Место: Охрид,078 474656,Дејности:винотеки (винарници)
19,Бади Винарија,Адреса: Пере Тошев 3,Место: Кавадарци,077 832746,"Дејности:винотеки (винарници), вина - производство"
20,Тристо Винари,Адреса: с.Сујаклари,Место: Велес,078 389958,"Дејности:вина - производство, винарски визби, винотеки (винарници)"
