ID,Name,Address,Location,Mob. Number,Occupation,WorkingHours,Website
0,Дивино Винарија,бул.Македонска Косовска бригада 30-б,Скопје,+38971304335,"вина - производство, пијалаци - алкохолни - производство, винарски визби",,
1,Филовски винарија - Дирекција,11-ти Октомври 23-а-1/1,Скопје,+38923133394,"вина - производство, винарски визби",Пон - Пет од 08:00 до 16:00,http://www.filovski.com.mk
2,Винарија Брзанов,Ѓорче Петров 4,Скопје,+38975406116,вина - производство,,http://www.brzanov.mk
3,Лозница - Национална кафана и винарија,М.Т.Гологанов 42,Скопје,+38970617749,ресторани, Пон - Саб од 09:00 до 17:00 ,
4,Борд лајф винари,с.Кучково,Скопје,+38970331114,"винарски визби, вина - производство, винотеки (винарници)",,
5,Винарија Попов,"Гоце Делчев, с.Росоман 13-а",Кавадарци,+38943551001,"винарски визби, вина - производство",Пон - Пет од 07:00 до 16:00,http://www.popovwinery.com.mk
6,Винарија Охрид,Железничка б.б.,Охрид,+38946279225,винарски визби,Пон - Пет од 07:00 до 15:00,
7,Кралска Винарија-Кралица Марија,Маршал Тито 63,Демир Капија,+38943446500,"винотеки (винарници), винарски визби, ресторани, апартмани и приватни соби - изнајмување, вина - производство", Пон - Нед од 00:00 до 00:00 ,http://www.wineryqueenmaria.com
8,Винарија Илиев,с.Сопот,Кавадарци,+38971219233,винарски визби,,
9,Семејна Винарија Захарчев,Косовска 16,Кавадарци,+38970743742,"винарски визби, винотеки (винарници)",,
10,Стоби Винарија,"Автопат, с.Градско 2",Велес,+38943215800,"вина - производство, винарски визби, ресторани",Пон - Пет од 08:00 до 16:00,http://www.stobiwinery.mk
11,Лазар Винарија,Археолошки Локалитет Стоби Градско,Велес,+38970315800,"винарски визби, вина - производство, вина - трговија, апартмани и приватни соби - изнајмување, ресторани", Пон - Нед од 00:00 до 00:00 ,http://www.lazarwinery.mk/
12,Винарија Кимов,Индустриска б.б.,Неготино,+38975379316,винарски визби,,
13,Винарија Томов,с.Тимјаник,Неготино,+38976808994,винарски визби,,
14,Иванов Винарија,Игман 11,Кавадарци,+38975350084,"вина - трговија, винарски визби",,
15,Арабеска винарија,с.Сопот,Кавадарци,+38975239243,"вина - производство, вина - трговија, винарски визби",,
16,Винарија-Дестилерија Кабранов,Вељко Влаховиќ 23,Неготино,+38943360060,"вина - производство, пијалаци - алкохолни - производство",Пон - Пет од 08:00 до 16:00,http://www.kabranov.mk
17,Дизајн Центар Инженеринг-Винарија Грков,Народна Младина 3,Кавадарци,+38943400600,"градежни фирми и претпријатија, инженеринг, проектирање (проектантски бироа), ентериер - уредување и реновирање",Пон - Пет од 07:30 до 15:30,http://www.dci.com.mk
18,Манастирска винарија,с.Опеница,Охрид,+38978474656,винотеки (винарници),,http://monasterywinery.com/
19,Бади Винарија,Пере Тошев 3,Кавадарци,+38977832746,"винотеки (винарници), вина - производство",,
20,Тристо Винари,с.Сујаклари,Велес,+38978389958,"вина - производство, винарски визби, винотеки (винарници)",Пон - Пет од 08:00 до 15:00,http://www.tristo.com.mk
21,Винарис,Лазо Мицев 38,Кавадарци,+38970917818,"обувки - продавници, чанти",Пон - Пет од 09:00 до 19:00  Саб од 09:00 до 15:00,
22,Винова винари,Никола Карев 87,Неготино,+38975787792,транспорт - меѓународен, Пон - Пет од 08:00 до 16:30 • Саб од 08:00 до 14:00 ,
23,Сковин - дирекција,15-ти Корпус 3,Скопје,+38923145725,"вина - трговија, винарски визби, вина - производство",Пон - Пет од 08:00 до 16:00,http://www.skovin.com.mk
24,Риго-импекс,Наум Наумовски Борче 40,Скопје,+38923290244,"вина - производство, винарски визби, вина - трговија, 200 најуспешни",Пон - Пет од 08:00 до 16:00,
25,Гемакс,Лондонска б.б.мезанин лок.25,Скопје,+38923065904,"угостителска опрема, опрема за месарници, кафемати, пекарска опрема, винарски визби, детергенти - специјалилизирани за индустрија, хигиена - средства, хемиско чистење - сервиси",,http://www.gemaks.com.mk
26,Винарска Визба Тиквеш - дирекција,ул.812 2,Скопје,+38923114383,"вина - производство, претставништва на домашни фирми, вина - трговија, винарски визби",,http://www.tikves.com.mk
27,Картал,ул.1519 7,Скопје,+38970242419,"вина - производство, вина - трговија, винотеки (винарници), винарски визби",Пон - Пет од 09:00 до 17:00,http://www.kartal.com.mk
28,Таком Груп,бул.Јане Сандански 7-1-1/11,Скопје,+38971400890,"инокс метали - трговија, индустриска опрема и машинерија - производство, индустриска опрема и машинерија - инсталација, млекарство - машини и опрема, фармацевтска опрема и техника, винарски визби",,http://www.tminox.com
29,Попова кула,Даме Груев 5-7/1,Скопје,+38923216719,"винарски визби, вина - трговија, вина - производство",Пон - Пет од 08:00 до 16:00,http://www.popovakula.com.mk
30,Далвина,Франклин Рузвелт 22,Скопје,+38923245345,"винотеки (винарници), вина - производство, вина - трговија, винарски визби",Пон - Пет од 08:00 до 16:00,http://www.dalvina.com.mk
31,Имако Вино,Перо Наков б.б.,Скопје,+38922549051,"винарски визби, вина - производство, вина - трговија, винотеки (винарници)",Пон - Пет од 07:30 до 15:30,http://www.imakovino.com.mk
32,Кувин,Македонска Преродба 70,Скопје,+38975233340,"винотеки (винарници), винарски визби",Пон - Нед од 08:00 до 00:00,http://www.winerykuvin.com/mk
33,Антигона Парк,ул.516 бр.6,Скопје,+38977945252,"хотели, винарски визби", Пон - Нед од 00:00 до 00:00 ,
34,Парагон урбан вајнери,Борис Трајковски (Првомајска) 62,Скопје,+38970399703,"вина - производство, винотеки (винарници), винарски визби",,
35,Винарска Визба Тиквеш-Продавница Центар,Томе Пуре 2,Скопје,+38923114383,"винарски визби, винотеки (винарници)",,http://www.tikves.com.mk
36,Шато Камник,Камник б.б.,Скопје,+38922523523,"вина - трговија, винарски визби, вина - производство",,http://www.chateaukamnik.com
37,Кодкордиа,Товарник 1/28,Скопје,+38972238405,"маркетинг на социјални медиуми, електронски-бизнис решенија, веб дизајн, интернет - веб хостинг, дизајнери - адвертајзинг и графички",Пон - Пет од 08:00 до 16:00,http://www.codecordia.com
38,Струмичко поле,с.Василево,Струмица,+38934354776,"винарски визби, вина - производство, овошје - преработка, производство и трговија на големо",Пон - Пет од 07:00 до 15:00,
39,Имако Вино,6-ти Километар б.б.,Штип,+38932308703,"винарски визби, вина - производство, вина - трговија, винотеки (винарници)",Пон - Пет од 07:00 до 15:00,http://www.imakovino.com.mk
40,Винарска Визба Тиквеш,29-ти Ноември 5,Кавадарци,+38943447500,"винарски визби, исо стандардизирани фирми, вина - производство, вина - трговија, пијалаци - алкохолни - производство, извозници, 200 најуспешни",Пон - Пет од 08:00 до 16:00,http://www.tikves.com.mk
41,Бовин,Индустриска б.б.,Неготино,+38943365322,"вина - производство, винарски визби",Пон - Пет од 08:00 до 16:00,http://www.bovin.com.mk
42,Венец,с.Долни Дисан,Неготино,+38943369200,"вина - производство, млеко и млечни производи, сточна храна - фабрики и млинови, брашно-производство и трговија, винарски визби",Пон - Пет од 07:00 до 15:00,http://www.venec.mk
43,Дудин,Ацо Аџи Илов б.б.,Неготино,+38943368506,"вина - производство, винарски визби",Пон - Пет од 07:00 до 15:00,http://www.dudinwinery.com.mk
44,Аневски винерија,Железничка 39,Штип,+38932392925,"винарски визби, вина - производство, вина - трговија",Пон - Пет од 07:00 до 15:00,http://www.acpwinery.com
45,Пеца Комерц,Западен булевар 13,Кавадарци,+38943410287,"транспорт - меѓународен, земјоделски производи - трговија, вина - производство, винарски визби",Пон - Пет од 08:00 до 16:00,http://www.winerypeca.com
46,Пивка,Индустриска б.б.,Неготино,+38943371416,"вина - трговија, винарски визби",Пон - Пет од 07:00 до 15:00,http://www.winerypivka.com.mk
47,Гоце Делчев-Тиквеш,с.Возарци,Кавадарци,+38943415916,винарски визби,Пон - Саб од 06:30 до 14:30,http://www.gdtikveswinery.com
48,Ерос трејд,с.Марена,Кавадарци,+38971375795,"вина - производство, винарски визби",,
49,Попова Кула,Булевар на виното 1,Демир Капија,+38943367400,"винарски визби, вина - производство, ресторани, хотели, вина - трговија, ресторани за свадби", Пон - Нед од 00:00 до 00:00 ,http://www.popovakula.com.mk
50,ММ Инвестмент - Лозар,Академик Пенчо Давчев (Скопски Пат) 130,Велес,+38943212620,винарски визби,Пон - Пет од 07:00 до 15:00,http://www.lozar.mk
51,Кокино вино,"Козјачка, с.Доброшане 15",Куманово,+38970236562,"вина - производство, винарски визби, хотели",Пон - Пет од 08:00 до 14:00,
52,Визба Валандово,Никола Карев 6,Валандово,+38934383880,"винарски визби, 200 најуспешни, извозници",Пон - Пет од 08:00 до 16:00,http://www.vizbavalandovo.com.mk
53,Пирган,Орде Чопела 173,Прилеп,+38970208552,"винарски визби, пијалаци - алкохолни - производство, вина - производство",Пон - Пет од 08:00 до 16:00  Саб од 08:00 до 15:00,
54,Имако Вино,Железничка б.б.,Битола,+38972271873,винарски визби,,http://www.imakovino.com.mk
55,Езимит,Брегалничка 64,Штип,+38932387809,"вина - производство, вина - трговија, винарски визби",Пон - Пет од 07:30 до 15:30,http://www.ezimit.mk
56,Далвина,с.Хамзали,Струмица,+38934375000,"винотеки (винарници), винарски визби",Пон - Саб од 08:00 до 16:00,
57,Риго импекс,"Гоце Делчев, с.Мрзенци б.б.",Гевгелија,+38934214094,"винарски визби, вина - производство",Пон - Нед од 00:00 до 00:00,
58,Езимит,"Маршал Тито, с.Лозово 5",Штип,+38978222424,"винарски визби, вина - трговија",Пон - Пет од 07:30 до 15:30,http://www.ezimit.mk
59,Шато сопот,с.Сопот,Велес,+38978663300,"вина - производство, винарски визби, ресторани",Пон - Нед од 09:00 до 22:00,http://www.chateausopot.mk
60,ВВМ ГД Тиквеш,Шишка 2,Кавадарци,+38943412852,винарски визби,,http://www.gdtikveswinery.com
61,Агрониколов,4-ти Јули 1,Велес,+38970377359,"винарски визби, винотеки (винарници), вина - производство",,
62,Изворно,Никола Оровчанец 1,Велес,+38977901169,"винотеки (винарници), винарски визби",,http://www.izvorno.com.mk
63,Бујук,с.Дабниште,Кавадарци,+38975840937,"винотеки (винарници), винарски визби",,
64,Ангелови,Македонија 6.6.,Кавадарци,+38943550887,"винотеки (винарници), винарски визби",,
65,Дестилерија Китвин,Вељко Влаховиќ 2-2/6,Кавадарци,+38970218024,"винарски визби, ракија - производство",,http://www.kitvin.mk
