ID,Name,Address,Location,Mob. Number,Occupation,Latitude,Longitude
0,Дивино Винарија,бул.Македонска Косовска бригада 30-б,Скопје,38971304335,"вина - производство, пијалаци - алкохолни - производство, винарски визби",42.0196012,21.4290087
1,Филовски винарија - Дирекција,11-ти Октомври 23-а-1/1,Скопје,38923133394,"вина - производство, винарски визби",41.99024133,21.43550082
2,Винарија Брзанов,Ѓорче Петров 4,Скопје,38975406116,вина - производство,42.0082705,21.3673592
3,Лозница - Национална кафана и винарија,М.Т.Гологанов 42,Скопје,38970617749,ресторани,41.99401093,21.43592072
4,Борд лајф винари,с.Кучково,Скопје,38970331114,"винарски визби, вина - производство, винотеки (винарници)",42.05766296,21.30715752
5,Винарија Попов,"Гоце Делчев, с.Росоман 13-а",Кавадарци,38943551001,"винарски визби, вина - производство",41.43360138,22.01239967
6,Винарија Охрид,Железничка б.б.,Охрид,38946279225,винарски визби,41.1183815,20.79999352
7,Кралска Винарија-Кралица Марија,Маршал Тито 63,Демир Капија,38943446500,"винотеки (винарници), винарски визби, ресторани, апартмани и приватни соби - изнајмување, вина - производство",41.4097388,22.24359005
8,Винарија Илиев,с.Сопот,Кавадарци,38971219233,винарски визби,42.24272919,21.72872162
9,Семејна Винарија Захарчев,Косовска 16,Кавадарци,38970743742,"винарски визби, винотеки (винарници)",41.4360145,22.0049644
10,Стоби Винарија,"Автопат, с.Градско 2",Велес,38943215800,"вина - производство, винарски визби, ресторани",41.71725082,21.77546692
11,Лазар Винарија,Археолошки Локалитет Стоби Градско,Велес,38970315800,"винарски визби, вина - производство, вина - трговија, апартмани и приватни соби - изнајмување, ресторани",41.71725082,21.77546692
12,Винарија Кимов,Индустриска б.б.,Неготино,38975379316,винарски визби,41.48379898,22.09109879
13,Винарија Томов,с.Тимјаник,Неготино,38976808994,винарски визби,41.46794891,22.08270645
14,Иванов Винарија,Игман 11,Кавадарци,38975350084,"вина - трговија, винарски визби",41.4359157,22.0052546
15,Арабеска винарија,с.Сопот,Кавадарци,38975239243,"вина - производство, вина - трговија, винарски визби",42.24272919,21.72872162
16,Винарија-Дестилерија Кабранов,Вељко Влаховиќ 23,Неготино,38943360060,"вина - производство, пијалаци - алкохолни - производство",41.4808163,22.0795538
